2.489499999999999886e+02,2.361952194179609776e+01
2.489939999999999998e+02,2.487240182928344012e+01
2.490300000000000011e+02,2.610049511468147543e+01
2.490420000000000016e+02,2.644303943172670301e+01
2.490790000000000077e+02,2.656537651494657126e+01
2.490850000000000080e+02,2.661755563250922307e+01
2.491100000000000136e+02,2.695015064837773977e+01
2.491140000000000043e+02,2.694609887759869338e+01
2.491160000000000139e+02,2.694247406334958939e+01
2.491200000000000045e+02,2.694983358707129284e+01
2.491370000000000005e+02,2.695469814626193994e+01
2.491659999999999968e+02,2.666523123335719347e+01
2.491659999999999968e+02,2.666523123335719347e+01
2.491810000000000116e+02,2.677470885145329405e+01
2.491920000000000073e+02,2.687613411838036370e+01
2.492129999999999939e+02,2.680884030051798206e+01
2.492290000000000134e+02,2.661561738362255269e+01
2.492290000000000134e+02,2.661561738362255269e+01
2.492369999999999948e+02,2.640722909762232362e+01
2.492390000000000043e+02,2.636995647287501043e+01
2.492529999999999859e+02,2.615513262627108304e+01
2.492589999999999861e+02,2.602743591716744831e+01
2.492709999999999866e+02,2.617260410638428425e+01
2.492789999999999964e+02,2.681571201523033565e+01
2.492920000000000016e+02,2.767356683852808885e+01
2.493050000000000068e+02,2.801984453737163605e+01
2.493079999999999927e+02,2.809715049455452629e+01
2.493259999999999934e+02,2.834950693789176768e+01
2.493429999999999893e+02,2.854571088635498199e+01
2.493770000000000095e+02,2.867489313140529816e+01
2.494019999999999868e+02,2.847204808436092094e+01
2.494430000000000121e+02,2.785943179968310801e+01
2.494639999999999986e+02,2.746261165814968308e+01
2.494790000000000134e+02,2.718230962820143048e+01
2.495190000000000055e+02,2.655834821937089529e+01
2.495709999999999980e+02,2.586697286076142888e+01
2.495869999999999891e+02,2.566409669324407616e+01
2.496059999999999945e+02,2.543513991528803331e+01
2.496160000000000139e+02,2.531953717627315825e+01
2.496464385964912367e+02,2.498371336212656502e+01
2.500380000000000109e+02,2.534273611216922362e+01
2.501310000000000002e+02,2.495083605960991946e+01
2.501920000000000073e+02,2.448616993952989063e+01
2.502230000000000132e+02,2.422594079547974744e+01
2.502719999999999914e+02,2.379567496063875609e+01
2.504000000000000057e+02,2.259208798197004953e+01
